index,rank,name_russian,name_original,year,reason,summary
288,32,Золотой эшелон,,1959,Dictionary definition,"1919 There is a civil war in Siberia. Taking advantage of the complete confusion, Admiral Kolchak wants to take part of the country’s gold reserves abroad."
293,37,Ветер,,1958,Dictionary definition,"Wind is a flow of air that moves near the earth's surface. On Earth, the wind is a flow of air moving predominantly in a horizontal direction; on other planets, it is a flow of atmospheric gases characteristic of them."
312,7,Поднятая целина,,1961,Dictionary definition,"“Virgin Soil Upturned” is a novel by M. The first volume was published in 1932, the second in 1959."
326,21,Впереди - крутой поворот,,1960,Too generic (no actual content),A Sharp Turn Ahead” is a Soviet black and white feature film produced at the Belarusfilm studio in 1960 by director Richard Viktorov. They are looking for the driver who hit a woman on the highway
339,34,Отверженные,"Wretched, The",1958,Dictionary definition,“Les Misérables” (French: “Les Misérables”) is an epic novel by the French classic Victor Hugo. Widely recognized by world literary criticism and the world community as the apogee of the writer’s creativity and one of the greatest novels of the 19th century.
397,92,Закон есть закон,"Law Is the Law, The",1958,Dictionary definition,"“The Law is the Law” (French La loi c'est la loi. The world premiere took place on September 17, 1958."
429,124,Сын Иристона,,1959,Too generic (no actual content),"“Son of Iriston” is a Soviet feature and journalistic film produced at the Lenfilm studio in 1959 by director Vladimir Chebotarev. The film premiered on January 19, 1960."
430,125,Горькая любовь,Bitter Love,1958,Too generic (no actual content),"Bitter Love (苦恋) is a film script and drama play written by Bai Hua and Peng Ning. The play was published in the magazine ""October"" in 1980 and was being prepared for film adaptation"
438,133,Огниво,"Tinder Box, The",1959,Dictionary definition,"Flint is a device for producing an open fire. It was widespread until the end of the 18th - beginning of the 19th centuries, when matches were invented and various types of lighters began to appear and then be mass-produced."
467,2,Чистое небо,,1961,Too generic (no actual content),“Clear Sky” is a Soviet feature film shot in 1961 by the famous director Grigory Chukhrai. The main roles in the film were played by Evgeny Urbansky and Nina Drobysheva.
473,8,Евдокия,,1961,Dictionary definition,"Eudokia (from ancient Greek Εὐδοκία, from εὐδοκία - “benevolence, love”) is a female name of Greek origin. In European languages, it is often confused with the name Eudoxia, which, as a proper Greek name, is another name - Greek."
474,9,Граф Монте-Кристо,"Count of Monte Cristo, The",1953,Dictionary definition,"“The Count of Monte Cristo” (French Le Comte de Monte-Cristo) is an adventure novel by Alexandre Dumas, written by him in 1844-1846, possibly co-authored with Auguste Macquet. Based on it, the plays “Monte Cristo”, “Comte de Morcerf” and “Villefort” were later written."
481,16,Сердце не прощает,,1961,Too generic (no actual content),"“The Heart Does Not Forgive” is a Soviet feature film directed by Vladimir Dovgan and Ivan Kobozev based on the play of the same name by Anatoly Sofronov, filmed in 1961 at the Yalta Film Studio."
519,54,Любушка,,1961,Dictionary definition,"Lyubushka is a river in the Smolensk region of Russia, flowing through the territory of the Novoduginsky and Sychevsky districts. The source is west of the village of Novodugino, the mouth is located 90 km along the right bank of the Vazuza River."
526,5,Парижские тайны,"Mysteries of Paris, The",1962,Dictionary definition,"“Parisian Mysteries” (Les Mystères de Paris) is a novel by Eugene Sue, one of the most popular of the 19th century, which gave birth to a fashion for the sensational criminal genre of mass literature. Published in 90 issues of the Journal des débats from June 19, 1842 to October 15, 1843."
559,38,Суд,,1962,Dictionary definition,"A court is a government body that administers justice in the form of consideration and resolution of criminal, civil, administrative and other categories of cases in the procedural order established by the law of a particular state. The system of courts that interprets and applies the law is known as the judiciary."
622,42,Им покоряется небо,,1963,Too generic (no actual content),“They Conquer the Sky” is a Soviet feature black-and-white film shot by film director Tatyana Lioznova in 1963. The film is dedicated to the fallen test pilots.
626,46,Козара,Kozara,1962,Dictionary definition,"Kozara / Kozara is a mountain range in the west of Bosnia and Herzegovina (administratively part of the Republika Srpska. Natural borders are: the Sava River in the north, the Vrbas River in the east, the Sana River in the south and Una in the west."
647,67,Иоланта,Jolanta,1963,Too generic (no actual content),“Iolanta” is a film adaptation of the opera of the same name by P. Tchaikovsky based on the drama of the Danish poet and playwright Henrik Hertz “King René’s Daughter.
699,119,Капроновые сети,,1962,Too generic (no actual content),"“Kapron Nets” is a Soviet children’s adventure film directed by Gennady Poloka and Levan Shengelia, filmed at the Mosfilm studio in 1962. The film was released in wide release in 1963."
813,3,"Операция ""Ы"" и другие приключения Шурика",,1965,Too generic (no actual content),"“Operation Y and other adventures of Shurik” is a Soviet comedy feature film filmed in 1965 by director Leonid Gaidai. The film premiered on July 23, 1965 at the Moscow Rossiya cinema."
825,15,Чёрный бизнес,,1965,Too generic (no actual content),"Black Business” is a Soviet film directed by Vasily Zhuravlev, released in 1965. The scenario is based on the capture of shop workers Shakerman and Roifman, who were subsequently shot"
833,23,Жили-были старик со старухой,,1964,Too generic (no actual content),"Once Upon a Time There Were an Old Man and an Old Woman” is a Soviet feature-length black-and-white film directed by Grigory Chukhrai, filmed in 1964 at the Mosfilm film studio"
834,24,Зайчик,,1964,Too generic (no actual content),"“Bunny” is a Soviet comedy full-length feature film, shot at the Lenfilm studio in 1964, the debut of director L. One of the leaders in Soviet box office in 1965."
862,52,Третья молодость,,1965,Too generic (no actual content),“The Third Youth” (French: La Nuit des adieux - “The Night of Farewell”) is a Soviet-French feature film produced in 1965. Film adaptation of the novel by Pierre Gilbert.
864,54,Секретарша,"Suddenly, a Woman!",1963,Too generic (no actual content),"“Secretary” is a film directed by Steven Sheinberg. The film was released in the United States on January 11, 2002, and in Russia on January 13, 2002."
903,93,Разводов не будет,Rozwodów nie będzie,1963,Dictionary definition,"The heroine of the third novella is a high school graduate (Magda Zawadzka) who escaped from the deep provinces to Warsaw to seek happiness here. He wants to make a career on the stage or anything else, as long as it is in the capital."
920,110,Скованные одной цепью,"Defiant Ones, The",1958,Dictionary definition,"“Chained by one chain” (“Mutual responsibility”) is the eleventh song of the album “Separation” by the group “Nautilus Pompilius”, which became one of the calling cards of the group. Words: Ilya Kormiltsev, music: Vyacheslav Butusov, Alexey Mogilevsky."
928,118,Актёр,"Comedy Man, The",1964,Dictionary definition,"Acting (outdated “acting”) is a professional creative activity in the field of performing arts, consisting in the creation of stage images (roles), a type of performing arts. When performing a certain role in a theatrical performance, the actor, as it were, likens himself to the person on whose behalf he is acting in the play."
957,147,Над нами Южный крест,,1965,Too generic (no actual content),"The Southern Cross Above Us” is a film directed by Vadim Ilyenko and Igor Bolgarin, filmed in 1965 at the A. The film's consultant was the famous polar aviation pilot, Hero of the Soviet Union I"
979,169,Золотой гусь,"Golden Goose, The",1964,Dictionary definition,"“The Golden Goose” (German: Die goldene Gans) is a fairy tale by the Brothers Grimm about a “stupid” youngest son who managed to marry the princess with the help of the forest man and his golden goose. In the collection of fairy tales of the Brothers Grimm it is numbered 64, according to the Aarne-Thompson classification system of fairy tales, and has numbers 571, 559, 513B."
1016,5,Приключения Питкина в больнице,"Stitch in Time, A",1963,Dictionary definition,"This time Pitkin is a salesman in a butcher shop. One day he has to call an ambulance for the shop owner, Mr."
1020,9,Стряпуха,,1965,Too generic (no actual content),"“The Cook” is a Soviet feature film, a lyrical comedy film directed by Edmond Keosayan, based on the play of the same name by Anatoly Sofronov. The film premiered in June 1966."
1038,27,Гибель эскадры,,1965,Too generic (no actual content),“The Death of the Squadron” is a Soviet feature film filmed by director Vladimir Dovgan in 1965 at the film studio named after. Dovzhenko based on the play of the same name by A.
1043,32,Эскадра уходит на запад,,1965,Too generic (no actual content),“The Squadron Goes West” is a Soviet feature film filmed in 1965 by directors Miron Bilinsky and Nikolai Vingranovsky at the Odessa Film Studio. The film takes place during the Civil War.
1053,42,Совесть,,1965,Dictionary definition,Conscience is a mental (cognitive) process that evokes emotions and rational associations based on a person’s moral philosophy or value system. A sense of moral responsibility for one’s behavior before other people and society.
1075,64,Приключения Вернера Хольта,"Adventures of Werner Holt , The",1964,Too generic (no actual content),"The Adventures of Werner Holt” (German: Die Abenteuer des Werner Holt) is a film directed by Joachim Kunert, released in 1965. Screen adaptation of the novel of the same name by Dieter Noll"
1081,70,Чёртово колесо,Ohne Paß in fremden Betten,1965,Dictionary definition,The Ferris wheel is an attraction in the form of a rapidly rotating horizontal flat disk. The Ferris Wheel has been a traditional part of Oktoberfest since at least 1910.
1110,99,Покушение,"Assassination, The",1964,Dictionary definition,"Attempted crime is the actions of a person directly aimed at committing a crime, but not completed due to circumstances beyond the control of this person. In most criminal legal systems of the world, an attempt to commit a crime, in accordance with the views of the classical school of criminal law, is interpreted as the beginning of the execution of a crime."
1122,111,Крылья,,1966,Too generic (no actual content),“Wings” is a Soviet feature film directed by Larisa Shepitko (1966). The film was attended by the flight technical staff of the Central Aero Club named after V.
1123,112,Окровавленная рубашка,Krvava kosulja,1957,Dictionary definition,"Waving the bloody shirt, in the context of US history, is a political strategy used by Republicans to attract voters by recalling the passions and hardships of the recent Civil War."
1126,115,Пароль,"Password, The",1965,Dictionary definition,"A password, also a security key, (French parole - word) is a conventional word or an arbitrary set of characters, consisting of letters, numbers and other symbols, and intended to confirm identity or authority. If only numbers are allowed, then this combination is sometimes called a PIN code (from the English abbreviation PIN - personal identification number)."
1158,147,Деревянные четки,"Wooden Rosary, The",1964,Dictionary definition,"Blog & Journals Read our Blogs 500th anniversary of Our Lady of Guadalupe Catholic Company MagazineThe 500th Anniversary of the Apparition of Our Lady of Guadalupe Grows Closer: What Is The Living Miracle of Her Message. It was to this humble indigenous convert that Our Lady appeared in 1531, and it is his tilma; the same tilma on which her image miraculously appeared, that still hangs untouched by time in Mexico t."
1167,156,Служебное положение,Sluzbeni polozaj,1964,Dictionary definition,"Military position (V/D) is the position (formerly rank) of a soldier (military or reserve (retired)) of the armed forces of the state, which determines his position (rights and obligations) in relation to other military personnel or those liable for military service, in peacetime or war. Every citizen (in some states and non-citizen, for example in the USA) undergoing military service (trained for military service in military educational institutions and equivalent ones) in the armed forces in accordance with his official position, military or special training, belonging to a branch of the Armed Forces, a branch of troops (forces) of a branch of the Armed Forces, special forces or a branch (branch) of service, as well as on personal state (service) merits, is personally assigned to military service."
1209,16,Вертикаль,,1966,Too generic (no actual content),"“Vertical” is a Soviet feature film on the theme of mountaineering, the graduation work of directors Stanislav Govorukhin and Boris Durov. The film premiered in July 1967."
1224,31,Снега Килиманджаро,"Snows of Kilimanjaro,The",1952,Dictionary definition,"“The Snows of Kilimanjaro” is a short story by Ernest Hemingway, published in 1936. It was first published in the American edition of Esquire magazine for August 1936."
1225,32,"Женя, Женечка и ""катюша""",,1967,Too generic (no actual content),"“Zhenya, Zhenechka and Katyusha” is a Soviet color tragicomedy feature film filmed at the Lenfilm studio in 1967 by director Vladimir Motyl. The film takes place during the Great Patriotic War."
1233,40,Дикий мёд,,1966,Too generic (no actual content),“Wild Honey” is a Soviet feature film shot by director Vladimir Chebotarev at the Mosfilm studio in 1966. Screen adaptation of the novel of the same name by Leonid Pervomaisky.
1235,42,Лекарство от любви,"Cure for Love, A",1965,Dictionary definition,"“The Cure for Love”, also “Remedies for Love” and “The Cure for Love” (Latin: Remedia Amoris or Remedium Amoris) is an ancient didactic poem by the ancient Roman poet Publius Ovid Naso, written at the beginning of the 1st century. It is a continuation of the poem “The Science of Love” and completes the first period of the poet’s work."
1253,60,Начальник Чукотки,,1966,Too generic (no actual content),"“The Chief of Chukotka” is a Soviet black and white comedy film produced at the Lenfilm studio in 1966 by director Vitaly Melnikov. The film premiered in the USSR on April 17, 1967."
1269,76,"Я солдат, мама",,1966,Too generic (no actual content),"I am a soldier, mother” is a Soviet feature film shot by Greek-Soviet director Manos Zacharias at the Mosfilm film studio in 1966. The film premiered in February 1966"
1281,88,Волчица,"She-Wolf, The",1965,Dictionary definition,"The wolf, or gray wolf, or common wolf (Latin Canis lupus), is a species of predatory mammal from the canine family (Canidae). Along with the coyote (Canis latrans), the common jackal (Canis aureus) and several other species, it makes up the genus of wolves (Canis)."
1325,132,"Белые, белые аисты","Лайлак келди, ёз бўлди",1966,Too generic (no actual content),"Lilak keldi, yoz buldi) is a Soviet feature film directed by Ali Khamraev. The film was created at the Uzbekfilm film studio in 1966."
1356,163,Слово имеет прокурор,Głos ma prokurator,1965,Dictionary definition,Wojciech Trepa is the son of a small farmer. His sister is seduced by Karol Kotula and has a child with him.
1379,186,Цепь,"Chain, The",1964,Dictionary definition,"A chain is a sequence of movably interconnected, usually identical, rigid elements called “links” (in the original sense - metal rings), generally similar to a rope in that it is flexible and bends in compression, but linear, rigid and load-bearing under breaking load. A chain consists of two or more links."
1382,189,Небо нашего детства,,1966,Too generic (no actual content),"The Sky of Our Childhood (Kyrgyzstan: Bakaidyn Zhaiyty) is a Soviet feature film filmed by director Tolomush Okeyev at the Kirgizfilm studio in 1966. Writers: Kadyrkul Omurkulov, Tolomush Okeyev."
1400,12,Ошибка резидента,,1968,Too generic (no actual content),The Resident’s Mistake” is a Soviet two-part feature film produced at the Central Film Studio of Children’s and Youth named after M. Gorky in 1968 by director Veniamin Dorman
1419,31,"Огонь, вода и... медные трубы",,1967,Too generic (no actual content),"Copper Pipes” is a Soviet full-length color feature film-fairy tale, produced at the Central Film Studio of Children's and Youth Films named after M. Gorky in 1967 by director Alexander Row."
1468,80,В огне брода нет,,1967,Too generic (no actual content),“There is no ford in fire” is a Soviet black and white feature film produced at the Lenfilm studio in 1967 by director Gleb Panfilov. Gleb Panfilov's feature film debut.
1492,104,Утоление жажды,,1966,Too generic (no actual content),Quenching Thirst” is a Soviet 2-part feature black and white film directed by Bulat Mansurov based on the novel by Yu. Trifonov “Quenching Thirst” (1963
1493,105,Фокусник,,1967,Dictionary definition,"Illusionism is a type of performing art that is characterized by the use of sleight of hand, tricks, or special equipment to create the illusion of violating the usual physical properties of well-known objects. The name comes from the French word “illusionner” - “to mislead”."
1498,110,Всюду есть небо,,1966,Dictionary definition,"Tanya is a little girl who has withdrawn into herself because of a tragic incident - her father, a military pilot, died in peacetime, during a test flight. The little girl's longing for her father becomes unbearable, she even runs to watch the planes fly by, in the hope that she will finally see her dad there, but he still does not return."
1515,127,Чувства,Jausmai,1968,Dictionary definition,"Feeling is a human emotional process that reflects a subjective evaluative attitude towards real or abstract objects. Feelings are distinguished from affects, emotions and moods."
1516,1,Бриллиантовая рука,,1968,Too generic (no actual content),"“The Diamond Arm” is a Soviet eccentric comedy filmed in 1968 by director Leonid Gaidai. The script was written by Maurice Slobodsky, Yakov Kostyukovsky and Leonid Gaidai."
1552,37,На пути в Берлин,,1969,Too generic (no actual content),"“On the Way to Berlin” is a Soviet full-length black and white feature film produced at the Lenfilm studio in 1969 by director Mikhail Ershov. The film premiered in the USSR on July 14, 1969."
1564,49,Живой труп,,1968,Dictionary definition,"The Living Corpse is a play by Leo Tolstoy, written in 1900 and published posthumously. Despite the fact that the plot of the work is brought to its logical conclusion, it cannot be considered finished: the author interrupted work on the play, leaving it at the draft stage."
1575,60,Уличный регулировщик,"Vigile, Il",1960,Dictionary definition,"Othello Celetti is an unemployed man who lives with his old father, his schoolboy son Remo and his wife Amalia in her brother’s house. The wife’s earnings are not enough, so the son skips school and works part-time as a mechanic at a nearby auto repair shop."
1582,67,Комедианты,"Comedians, The",1967,Too generic (no actual content),"“The Comedians” is a film directed by Peter Glanville, released in 1967. An adaptation of Graham Greene's novel of the same name."
1632,15,Судьба резидента,,1970,Too generic (no actual content),The Fate of the Resident” is a Soviet two-part feature film produced at the Central Film Studio of Children's and Youth named after M. Gorky in 1970 by director Veniamin Dorman
1642,25,Зелёные цепочки,,1970,Too generic (no actual content),“Green Chains” is a Soviet feature film produced at the Lenfilm studio in 1970 by director G. Aronov based on the stories “Green Chains” and “Secret Fight” by G.
1684,67,Счастливый человек,,1970,Too generic (no actual content),"Happy Man” is a Soviet black and white widescreen feature film, shot in 1970 by director Igor Dobrolyubov at the Belarusfilm film studio. Nikita and Dima are in love with Olya"
1716,99,Тренер,,1969,Dictionary definition,"A coach (English trainer, from train - to educate, train, prepare) is a specialist in a particular sport who supervises the training of athletes. The coach carries out educational and training work aimed at educating, training and improving skills, developing the functional capabilities of his students."
1723,106,17-е небо,Seventeenth Heaven,1965,Dictionary definition,"Seventeenth Heaven is the twelfth Korean extended play (EP) and fifteenth overall by South Korean boy band Seventeen. It was released on October 23, 2023, by Pledis Entertainment through YG Plus, five months following the release of FML (2023)."
1766,149,Старый дом,,1969,Too generic (no actual content),"“The Old House” is a Soviet feature-length black and white film, shot by directors Boris Buneev and Valery Belyakovich at the Gorky Film Studio in 1969. The premiere took place in January 1970."
1792,175,Плюс единица,,1967,Too generic (no actual content),“Plus One” (Uzbek: Dilbarim) is a Soviet feature film that combines elements of live action shooting and animated inserts. Filmed by director Yuri Stepchuk at the Uzbekfilm film studio in 1967.
1793,1,Джентльмены удачи,,1971,Too generic (no actual content),“Gentlemen of Fortune” is a Soviet film comedy filmed in 1971 by director Alexander Sery at the Mosfilm film studio. The scriptwriters are Georgy Danelia and Victoria Tokareva.
1828,36,Укрощение строптивой,"Taming of the Shrew, The",1967,Dictionary definition,"The Taming of the Shrew is a play in five acts by William Shakespeare, written between 1590 and 1592. The date of the first production of the play has not been established."
1836,44,Король Лир,,1970,Dictionary definition,"""King Lear"" is a tragedy by William Shakespeare. Written in 1605-1606 and first staged on St."
1859,67,"Гойя, или Тяжкий путь познания",Goya or the Hard Way to Enlightenment,1971,Dictionary definition,"Goya, or The Hard Path of Knowledge (German: Goya oder der arge Weg der Erkenntnis) is a historical novel by Lion Feuchtwanger about the life of the 18th century Spanish artist Francisco Goya during his life from 1793 to 1806. It is one of the author’s later works."
1864,72,Минута молчания,,1971,Dictionary definition,A minute of silence is a symbolic ritual in memory of a tragic event and the people who died in it. Those participating in the ritual stand and honor the memory without making speeches or talking to each other.
1899,107,Чёрное солнце,,1970,Too generic (no actual content),"""Black Sun"" is a Soviet film from 1970. Political drama directed by Alexei Speshnev, based on African material based on the biography of Patrice Lumumba."
1911,119,Рыцарь королевы,Karalienes bruņinieks,1970,Dictionary definition,"Home / Books / Romance Fantasy / Anastasia Litskikh Knight of the Queen Author: Anastasia Litskikh Like (1) (0) (2) #1090 in Romance Fantasy #2920 in Fantasy New Knight of the Queen Author: Anastasia Litskikh Like (1) (0) (2) Age limit: 16+ Format: Story Like (1) (0) (2) #forbidden feelings #forbidden relationships #strong heroine #knights #romantic relationships #1090 in Romance fantasy #2920 in Fantasy She is a queen who holds the fate of an entire state in her hands. He is her faithful knight, in the hands of whom is not only her safety, but also a brave, ardent heart."
1913,121,"Завтра, третьего апреля...",,1969,Dictionary definition,April 1 is a well-known day of practical jokes and lies. And so the students of one of the Leningrad schools decided to organize a day of truth and specified the date - April 2.
1917,125,Серебряные трубы,,1970,Too generic (no actual content),"“Silver Pipes” is a Soviet feature-length black and white film filmed by director Eduard Bocharov at the Gorky Film Studio in 1970. The film premiered on May 14, 1971."
1954,162,Хатабала,,1971,Dictionary definition,"“Khatabala” is a concept consisting of the Arabic words “hata” (Arabic: خطأ‎) and “bala” (Arabic: بَلَاء‎), and means commotion, commotion, misunderstanding, confusion."
1975,183,Берёза,"Birch Tree, The",1967,Dictionary definition,Bétula) is a genus of deciduous trees and shrubs of the Birch family (lat. Birch is widespread in the Northern Hemisphere.
1977,2,Русское поле,,1971,Too generic (no actual content),"“Russian Field” is a Soviet feature film directed by Nikolai Moskalenko, shot at the Mosfilm studio in 1971. It took 4th place at the 1972 box office, attracting 56."
2008,33,Остров сокровищ,,1971,Dictionary definition,"“Treasure Island” is a novel by British writer Robert Stevenson about the adventures of finding treasure hidden by Captain Flint on a desert island. First published in 1883, before that, in the period 1881-1882, it was published in series in the children's magazine Young Folks."
2031,56,Кочующий фронт,,1971,Too generic (no actual content),"“The Nomadic Front” is a film directed by Baras Khalzanov, who is also a co-author of the script. Production of the Sverdlovsk Film Studio in 1971."
2069,94,Чёрная гора,Black Mountain,1970,Dictionary definition,"Black Mountain is a town in Buncombe County, North Carolina, United States. The population was 8,426 at the 2020 United States census."
2094,119,Не оглядывайся назад,Don't Turn Back,1970,Dictionary definition,"Colby O is the debut studio album by American singer Colby O'Donis. It was released on September 16, 2008 through Akon's record label Kon Live and Geffen Records."
2102,127,День прозрения,"Day of Purification, The",1969,Dictionary definition,"Ching Ming Festival, explainedWhat is the Ching Ming Festival. Photograph: ANTHONY WALLACE / AFPThe Ching Ming Festival (清明節) is also referred to as Tomb-Sweeping Day, or Qingming Festival in Mandarin Chinese pronunciation."
2111,136,Локис,Lokis,1970,Dictionary definition,"lokys “bear”) is a “terrible story” by Prosper Mérimée, published in the Revue des Deux Mondes in September 1869, a year before his death. The story is presented in the form of a manuscript in which Professor Wittenbach outlined the circumstances of a trip he made in 1866 to the “Medintiltas Castle”, located in the Lithuanian outback."
2158,9,Человек-оркестр,"One Man Band, The",1970,Dictionary definition,"A one-man band is a musician who plays several instruments at the same time, using his hands, feet, and various mechanical or electronic devices. In the simplest cases, in addition to the main accompanying instrument in the hands of the performer (for example, an acoustic guitar), behind his back there is a large drum with a pedal-controlled beater between his legs, and cymbals are attached between his knees."
2181,32,Золотые рога,,1972,Too generic (no actual content),"“Golden Horns” is a Soviet full-length color feature film-fairy tale, produced at the Central Film Studio of Children's and Youth Films named after M. The premiere took place on January 1, 1973."
2203,54,Великие голодранцы,,1973,Too generic (no actual content),“The Great Hungry Men” is a Soviet feature-length black and white film filmed by Lev Mirsky at the Gorky Film Studio in 1973. Screen adaptation of the first part of the “Russian Niva” duology.
2225,76,Совсем пропащий,,1973,Too generic (no actual content),“Completely Lost” is a Soviet feature-length color film filmed by director Georgy Danelia at the Mosfilm studio in 1973. An adaptation of Mark Twain's novel The Adventures of Huckleberry Finn.
2240,91,Ищу человека,,1973,Too generic (no actual content),"Looking for a Man” is a Soviet feature film directed by Mikhail Bogin, based on the book “Find a Man” by Agnia Barto at the Gorky Film Studio in 1973. The film premiered on December 24, 1973"
2255,106,Преждевременный человек,,1971,Too generic (no actual content),The Premature Man is a Soviet feature film filmed in 1971 by director Abram Room at the Mosfilm studio. Gorky’s unfinished play “Yakov Bogomolov” (circa 1916
2268,119,Облака,,1973,Dictionary definition,"A cloud is a product of condensation of water vapor suspended in the atmosphere, visible in the sky with the naked eye from the surface of the Earth and near-Earth space. In a broad sense, a cloud is an accumulation of individual particles of any substance in a certain volume."
2269,120,Хроника ночи,,1972,Too generic (no actual content),"“Chronicle of the Night” is a Soviet feature film directed by Alexei Speshnev, shot at the Belarusfilm film studio in 1972. The film premiered on June 4, 1973."
2280,131,Камень во рту,Secret Dossier of the Mafia,1970,Dictionary definition,"'The Stone in the Mouth' is the live chronicle of how the mafia conquered Sicily, the whole Italy and parts of the United States. Or how it tried to do so, thanks to the guilty underestimation of many who should have fought it."
2282,133,Мраморный дом,,1972,Too generic (no actual content),"“The Marble House” is a Soviet children's adventure film directed by Boris Grigoriev, filmed in 1972 from a script by Vasily Aksenov. The film premiered on December 30, 1973."
2283,134,Перед рассветом,,1971,Too generic (no actual content),"Before Sunrise is a film directed by Richard Linklater, released in 1995. The film received the Silver Bear prize for best director at the Berlin Film Festival."
2291,142,Запрещённые игры,Forbidden Games,1952,Too generic (no actual content),"Forbidden Games is a film by René Clément, released in 1952. A film adaptation of François Boyer's novel “The Secret Games” (French: Les jeux nationaux, 1947)."
2292,143,Семург,,1972,Too generic (no actual content),“Semurg” is a Soviet wide-screen feature film shot by director Habib Fayziev at the Uzbekfilm film studio in 1971. Screen adaptation of the poem of the same name by Hamid Alimdzhan.
2323,174,Синее небо,,1971,Dictionary definition,"1 Contributor Blue sky (Sinee nebo) Lyrics [Text of the song “Blue sky”] [Verse 1] I drive along the glass: I draw your kiss I can’t find words because you are with another And my soul is a hot ball You didn’t read the words of love in my eyes I didn’t let you share happiness for two: The sky is high, happiness is far away [Chorus] This is a blue, blue sky above your head This is a blue, blue sky to me The blue-blue sky is calling me, leading me: “Only forward. “This blue-blue sky above my head This blue-blue sky, someone else is coming towards me, living in parallel Body, soul is bored, loves and waits [Verse 2] The heavens are crying, echoing my heart There is a thunderstorm in my soul and, it’s clear why: If you are far from my love I don’t want to run away from myself anymore I can turn the pages of Life and start from scratch again I can now, I will open the door [Chorus] This The blue-blue sky above my head This blue-blue sky to me is calling me, the Blue-blue sky is leading me: “Only forward"
2372,31,Юнга Северного флота,,1973,Too generic (no actual content),"""Jung of the Northern Fleet"" is a Soviet feature film. The film debut of actors Igor Sklyar and Algis Arlauskas (they later starred together in the film “Take Care of Women” in 1981)."
2383,42,Молчание доктора Ивенса,,1973,Too generic (no actual content),"“The Silence of Doctor Ivens” is a Soviet science fiction feature film directed by Budimir Metalnikov at the Mosfilm film studio. The film premiered on April 15, 1974."
2384,43,Я служу на границе,,1973,Too generic (no actual content),"I Serve on the Border” is a Soviet feature-length black and white film filmed by director Naum Birman at the Lenfilm studio in 1973. The film premiered on May 6, 1974"
2385,44,Северная рапсодия,,1974,Too generic (no actual content),Northern Rhapsody” is a Soviet musical feature film directed by Eduard Abalyan (Abalov) in 1974. The girl Tonya s in the Far North near Cape Oleniy Nos and loves to dance
2429,88,Исполнение желаний,,1973,Too generic (no actual content),"“The Fulfillment of Desires” is a Soviet film, a social drama directed by Svetlana Druzhinina, based on the novel of the same name by Veniamin Kaverin. Filmed at the Mosfilm studio in 1973."
2458,117,Огонь,,1973,Dictionary definition,"Fire is an intense oxidation process (combustion), accompanied by radiation in the visible range and the release of thermal energy. In science, a set of hot gases released as a result of: Fire is the main phase of the combustion process and has the property of self-propagation through other combustible materials affected by it."
