index,name_russian,year,issues,summary_preview
284,Человек с поезда,1957,weirdly_written: Bot message/search result page,"1-16 of over 1,000 results for ""man from the train"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options"
288,Золотой эшелон,1959,weirdly_written: Bot message/search result page,"1-16 of over 80,000 results for ""dvds movies drama"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go PBS Distribution Holiday Gift Ideas"
293,Ветер,1958,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
298,Хмурый Вангур,1959,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"A young, ambitious graduate student, Nikolai Pletnev, champions the idea that there is a titanium deposit on the Vangur River in the Urals that the Soviet Union desperately needs. He is supported by a student, future geologist, who is in love with him, Natasha."
305,Журавлиная песнь,1959,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (too short and no plot/film terms),“Synrau Torna”) is the first Bashkir ballet in three acts. Music by composers Zagir Ismagilov and Lev Stepanov.
317,Им было девятнадцать...,1960,weirdly_written: Highly repetitive text,"History feeds ODESSA CHRONOGRAPH: Odessa, or There and Back. ODESSA CHRONOGRAPH: Odessa, or There and Back."
320,Нормандия-Неман,1960,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"Normandie-Niémen (French: Normandie-Niémen) is a French fighter aviation regiment (1 IAP ""Normandie-Niémen""), which fought during World War II against Axis forces on the Soviet-German front in 1943-1945. In 1942, General de Gaulle, considering it important that French soldiers serve on all fronts of"
321,Катя-Катюша,1959,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
343,Человек с тысячью лиц,1957,weirdly_written: Bot message/search result page,00or Best OfferSponsoredShop on eBayBrand New$20. 00or Best OfferSponsoredNEW LOW PRICEMan of a Thousand Faces 1957 Original 7 LCs Movie Lobby CardsOpens in a new window or tabPre-Owned$303
348,Горячая душа,1959,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
359,Домой...,1960,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
365,Пиковая дама,1960,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“The Queen of Spades” is a story by Alexander Pushkin with mystical elements, which served as the source of the plot of the opera of the same name by Pyotr Tchaikovsky. In terms of genre, the story is close to such (unfinished) plans of Pushkin as “Egyptian Nights”, “Secluded House on Vasilievsky” a"
367,Дама с собачкой,1960,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“The Lady with the Dog” is a story by Russian writer and playwright Anton Pavlovich Chekhov, written in 1898. First published in the magazine “Russian Thought” No."
369,Я ищу тебя,1956,non_plot_driven: Non-plot driven (too short and no plot/film terms),Start typing or insert a link 0 / Translate in Thanks for your feedback. You can suggest a translation Submit Close Thanks for your help.
371,Ловцы губок,1960,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
386,Мост перейти нельзя,1960,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
387,Мэнди,1952,weirdly_written: Bot message/search result page,"1-16 of 615 results for ""mandy movie"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options"
389,Евгения Гранде,1960,wrong_timeline: Summary mentions modern technology but film is 1960,"Evgenia Grande"" is a 1960 Soviet drama film directed by Sergei Alekseev based on the Maly Theater performance based on the novel of the same name by Honore de Balzac. The events of the film take place in the French province of the 19th century, in the city of Saumur.. The head of a wealthy family - "
396,Процесс откладывается,1958,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
397,Закон есть закон,1958,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
402,Смерть в седле,1958,non_plot_driven: Non-plot driven (too short and no plot/film terms),"A body with equine markings sends Booth and Bones into a world of fetishism, and Angela agrees to undergo hypnosis to get the name of her husband."
409,Граница в нескольких шагах,1959,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
431,Дорога жизни,1959,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"The “Road of Life” is the only transport route along which, during the siege of Leningrad, supplies were supplied to the encircled Soviet group of troops and the civilian population of the city. During periods of navigation, transportation was carried out by water, and during freeze-up - on the ice "
433,Ребята с Канонерского,1960,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
436,Шинель,1959,non_plot_driven: Non-plot driven (too short and no plot/film terms),"The word is used to describe uniforms worn since the late 18th century. Before this, clothing of a similar cut was called a caftan."
457,Второе цветение,1959,non_plot_driven: Non-plot driven (too short and no plot/film terms),Wait one real day and return to Hanayama again. She will complain that the area where the girl planted the donated seeds is overrun by monsters.
458,Швед-лотерейщик,1958,non_plot_driven: Non-plot driven (too short and no plot/film terms),This article needs additional citations for verification. Please help improve this article by adding citations to reliable sources.
470,Две жизни,1961,non_plot_driven: Non-plot driven (too short and no plot/film terms),A Soviet cruise ship arrives at a French port. Three men go ashore and enter a small restaurant.
474,Граф Монте-Кристо,1953,weirdly_written: Bot message/search result page,"1-48 of 590 results for ""count of monte cristo"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Showing results for count of monte cristoSearch instead for count of monte christo Results Check each product page for other b"
494,Карьера Димы Горина,1961,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),Dmitry Gorin is an exemplary employee of the Soviet savings bank. He is expecting a promotion - the position of manager of a savings bank branch.
495,Рассказ нищего,1961,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“The Beggar's Tale” is a story by Georgian writer Ilya Chavchavadze, completed in 1873, about the life of a servant unjustly accused of a crime. In Russian it is known in translations by the brothers Japaridze (“The Robber Gabro”), E."
507,Жених без диплома,1961,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only); wrong_timeline: Summary mentions modern technology but film is 1961,"Bichiko is a carefree village guy, he doesn’t want to study, the whole village considers him a slacker, which greatly upsets his mother. He falls in love with Nani, whose father does not want to hear about a groom without a diploma for his daughter, and chose a local veterinarian as her groom. Bichi"
515,Сказка о Коньке-Горбунке (фильм-балет),1961,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
526,Парижские тайны,1962,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
527,Три мушкетера. Месть миледи,1961,weirdly_written: Bot message/search result page,"1-16 of 174 results for ""le trois mousquetaires"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options."
546,"День, когда исполняется 30 лет",1961,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
559,Суд,1962,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"A court is a government body that administers justice in the form of consideration and resolution of criminal, civil, administrative and other categories of cases in the procedural order established by the law of a particular state. The system of courts that interprets and applies the law is known a"
573,"Маленькие истории о детях, которые...",1961,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
574,В мире танца,1961,non_plot_driven: Non-plot driven (too short and no plot/film terms),Spartacus 1975 ballet Romeo and Juliet 1954 ballet The Terrible Age 1976 ballet Liberation. Arc of Fire 1968 drama Liberation.
575,Если бы каждый из нас...,1961,non_plot_driven: Non-plot driven (too short and no plot/film terms),Year 1961 Country USSR : 10 / 4 votes >>Only registered site visitors can take part in the voting
578,Одержимые,1962,wrong_timeline: Summary mentions modern technology but film is 1962,"Obsessed Obsessed (film, 1962) 1962 drama Soviet Union USSR About the film Creators and actors Review Stills Publications Film in collections Watch online More From the director Similar Awards Posters the film 1 2 3 4 5 6 7 8 9 10 10 Viewers (1) - film. ru - Information Country Soviet Union USSR Yea"
580,Баня,1962,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),βᾰλᾰνεῖον) is a room equipped for washing a person with the simultaneous action of water and hot air (in Turkish and Roman baths) or water and steam (in Russian and Finnish baths). Often this concept includes the entire complex of actions carried out by a person in a bathhouse or related to it.
582,Три мушкетёра. Подвески королевы,1961,weirdly_written: Bot message/search result page,"1-48 of 423 results for ""three musketeers book"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options."
618,Пятеро из Ферганы,1963,weirdly_written: Highly repetitive text; non_plot_driven: Non-plot driven (too short and no plot/film terms),CloseVideo Five from Fergana (1963) | OK. RUOK›Sergey LeningradetsVideo sourceVideo Five from Fergana (1963) | OK.
635,Афера в казино,1957,non_plot_driven: Non-plot driven (too short and no plot/film terms),This article relies largely or entirely on a single source. Relevant discussion may be found on the talk page.
654,Оправдан за недостаточностью улик,1962,non_plot_driven: Non-plot driven (too short and no plot/film terms),This article needs additional citations for verification. Please help improve this article by adding citations to reliable sources.
672,Королевские дети,1962,non_plot_driven: Non-plot driven (too short and no plot/film terms),"With the Nazis coming to power, their relationship is subjected to a long, severe test. Jurgen becomes an SA stormtrooper."
673,Приговор,1961,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"A verdict is a procedural act of justice. This is a decision of the court (judge) on the guilt or innocence of the defendant and the imposition of punishment on him, or on his release from punishment, made by the court of first instance or appeal (Article 5 of the Code of Criminal Procedure of the R"
674,Полустанок,1963,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"A railway station is a separate point of railways with the presence of track development and providing work on receiving, sending, crossing and overtaking, regulating the movement of trains, receiving and issuing cargo, luggage and cargo luggage, and the ability to serve passengers. If the railway s"
680,"И в шутку, и всерьёз...",1963,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
686,Это случилось в сочельник,1962,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
712,Каникулы,1962,wrong_timeline: Summary mentions modern technology but film is 1962,"The film tells the story of two brothers and sisters who came to the countryside on vacation, who want to grow in the fields and gardens, but they cannot escape their father's strict regime and are forced to spend all their days studying. In the end, the father gives up on his children and happily l"
720,Приговорённый к смерти бежал,1956,weirdly_written: Bot message/search result page,"9 results for ""criterion collection a man escaped"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options"
744,Большой фитиль (киноальманах),1963,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
756,Секретарь обкома,1963,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
763,Джура,1964,wrong_timeline: Summary mentions year(s) ['1985'] but film is 1964 (large discrepancy),"This film is not the only adaptation of Tushkan’s novel; In 1985, the mini- “Jura - the Hunter from Min-Arkhar”, directed by Saido Kurbanov and Victor Mirzayants, was also released. The film tells about the development of the character of the young Kyrgyz hunter Jura, who found himself in the rapid "
771,"Тот, кто рядом с тобой",1963,non_plot_driven: Non-plot driven (too short and no plot/film terms),Overview The action takes place in the 1960s in the GDR. Czech Melihar was sent as a senior doctor to a Berlin clinic headed by Professor Marschner.
779,Свадебный завтрак,1956,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
787,Над пустыней небо,1963,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
792,Чудо отца Малахиаса,1961,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
793,Кто оседлает коня?,1963,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
828,Жаворонок,1964,non_plot_driven: Non-plot driven (too short and no plot/film terms),"Larks are small or medium-sized birds: length 10-25 cm, weight from 15 to 80 g. The body is strong, the neck is short, the head is large."
852,Карамболь,1964,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"Carom is a type of billiards, as well as the definition of a shot in which the cue ball (the ball with which the shot is struck) makes a sequential collision with two object balls. The game is played on tables without pockets, 2."
853,Палата,1964,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (too short and no plot/film terms),"Palata is an old Russian word for a house or palace. palatium - palace, related to the Ukrainian palace, French palace or palais, English palace."
887,Человек с фотографии,1963,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
891,Пятый узел,1960,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
915,"Где ты теперь, Максим?",1964,wrong_timeline: Summary mentions modern technology but film is 1964,"Where are you now, Maxim?” is a Soviet feature black-and-white dramatic film filmed in 1964 by director Edmond Keosayan at the Mosfilm film studio. Based on the story by William Kozlov “I Hasten for Happiness.” Seventeen-year-old Maxim Bobtsov returns to the city of Velikiye Luki to participate in i"
920,Скованные одной цепью,1958,weirdly_written: Bot message/search result page,"1-16 of over 100,000 results for ""documentary movie"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options"
925,Три сестры,1964,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (too short and no plot/film terms),"“Three Sisters” is a play in four acts by A. It was first published in the magazine “Russian Thought”, No."
937,Прекрасная жизнь,1963,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
942,Пока жив человек,1963,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
954,Первый учитель,1965,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),“The First Teacher” is a story by Kyrgyz writer Chingiz Aitmatov about the formation of education in the distant villages of Kyrgyzstan and the fight against patriarchal traditions. The story was written in 1962 in the Kyrgyz language and translated into Russian by the author together with A.
979,Золотой гусь,1964,weirdly_written: Bot message/search result page,"27 results for ""golden goose mid star"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options"
987,Оставшийся в тени,1951,weirdly_written: Bot message/search result page,"1-16 of over 40,000 results for ""magic box for"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go smart ai box for apple carplaySponsored|Shop CarlinkitShop now pageCarlinKit CarPlay Box Streaming Device for Car – YouTube, T"
1013,Война и мир,1965,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“War and Peace”) is an epic novel by Leo Nikolaevich Tolstoy, describing Russian society during the era of the wars against Napoleon in 1805-1812. The epilogue of the novel brings the narrative up to 1820."
1016,Приключения Питкина в больнице,1963,weirdly_written: Bot message/search result page,"1-16 of 343 results for ""a stitch in time books"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options"
1023,Любовь под вязами,1958,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"Ephraim Cabot (Burl Ives) is a very energetic man in his old age, he really loves his farm and what it brings him through his work. Being no less greedy than their father, however, his own sons, born from two wives, whom Cabot forced to work so hard that he brought them to an early grave, harbor hos"
1025,Девица Розмари,1958,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
1030,Гиперболоид инженера Гарина,1965,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“The Hyperboloid of Engineer Garin” is a science fiction and satirical novel by A. According to the plot, in early Soviet Russia, engineer Pyotr Garin invents a device that concentrates radiation into a “light cord” - an analogue of a modern laser."
1041,Заговор послов,1965,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"The Lockhart conspiracy (the Lockhart case, the conspiracy of the three ambassadors) is a conspiracy against Soviet power, uncovered in August 1918 by the Cheka. Together with the assassination attempt on Lenin, it became one of the reasons for the deployment of mass red terror."
1044,Месяц май,1965,non_plot_driven: Non-plot driven (too short and no plot/film terms),Students - Galya and Sergey - submit an application to the registry office. They are given the month required by law.
1050,Вдвое больше или ничего,1964,non_plot_driven: Non-plot driven (too short and no plot/film terms),"99Rate this bookDouble O Trilogy #1Doppelt oder nichtsKim Sherwood, Roswitha Giesen (Translator)3. 261,410 ratings316 reviewsWant to ReadKindle $16."
1072,"До свидания, мальчики",1964,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“Goodbye, Boys” is a story (largely autobiographical) by Boris Balter, his most famous work. One of the many works about the last days of peaceful life on the eve of the Great Patriotic War, characteristic of Soviet literature of the Thaw period."
1074,Кабриола,1965,weirdly_written: Bot message/search result page,"1-16 of over 10,000 results for ""holiday classic "" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options"
1086,Клятва Гиппократа,1965,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"The Hippocratic Oath is an oath expressing the fundamental moral and ethical principles of a doctor’s behavior. In colloquial speech, it is used as a synonym for various legally approved variations of the “doctor’s oath”, pronounced upon receipt of a document on higher medical education, the ceremon"
1103,Белый мавр,1965,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
1111,Король Дроздобород,1965,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"King Thrushbeard (German: König Drosselbart) is a romantic fairy tale-short story from the first collection of “Children's and Household Tales” (Kinder- und Hausmärchen) by the Brothers Grimm (first edition 1812/1815) number 52. According to the Aarne-Thompson classification system of fairy tales, i"
1125,Преемник,1965,non_plot_driven: Non-plot driven (too short and no plot/film terms),"meaning successor The meaning of the word “successor” SUCCESSOR, -a, m. The one who received succession from someone."
1146,Бегство в никуда,1965,weirdly_written: Bot message/search result page,"1-16 of over 70,000 results for ""dvds classic movies"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go PBS Distribution Holiday Gift Ideas"
1151,Мечта моя,1966,wrong_timeline: Summary mentions modern technology but film is 1966,Review by nandini ★★★★½ 2 Watched a whole movie from start to finish in my dream and woke up mad af that it wasn't on letterboxd Plot was there's a ton of diamonds under train tracks at diff points and they have to find them all but also the trains keep blowing up and disappearing so its hard to get
